unidade;ano;mes;giro_de_leitos;iisl
HCM;2022;9;0,15789473684210525;18,166666666666657
HCM;2022;10;0,13157894736842105;12,600000000000001
HCM;2022;11;0,02631578947368421;45,000000000000014
HCM;2022;12;0,13157894736842105;15,999999999999993
HCM;2023;1;0,10526315789473684;12,499999999999986
HCM;2023;2;0,02631578947368421;94,00000000000004
HCM;2023;3;0,028130671506352088;-4,00000000000002
HCM;2023;4;0,05263157894736842;34,49999999999998
HCM;2023;5;0,10526315789473684;21,500000000000007
HCM;2023;6;0,13157894736842105;10,600000000000009
HCM;2023;7;0,05263157894736842;11,50000000000001
HCM;2023;8;0,13157894736842105;2,600000000000011
HCM;2023;9;0,10526315789473684;25,999999999999986
HCM;2023;10;0,10526315789473684;21,500000000000007
HCM;2023;11;0,21052631578947367;8,874999999999996
HCM;2023;12;0,10526315789473684;43,75000000000001
HCM;2024;1;0,07894736842105263;78,66666666666667
HCM;2024;2;0,18421052631578946;18,714285714285715
HCM;2024;3;0,5467791411042945;11,565217391304351
HCM;2024;4;1,144578313253012;6,385964912280702
HCM;2024;5;0,6818181818181818;6,533333333333332
HCM;2024;6;0,29545454545454547;12,692307692307692
HCM;2024;7;0,33748055987558323;9,214285714285715
HCM;2024;8;0,07894736842105263;20,66666666666669
HCM;2024;9;0,13157894736842105;34,800000000000004
HCM;2024;10;0,05263157894736842;82,50000000000003
HCM;2024;11;0,13157894736842105;19,00000000000001
HCM;2024;12;0,2483974358974359;23,9
HCM;2025;1;0,09323308270676692;79,99999999999999
HCM;2025;2;0,2337228714524207;24,599999999999994
HCM;2025;3;0,1745776347546259;27,142857142857142
HCM;2025;4;0,23980815347721823;18,400000000000006
HCM;2025;5;0,12542144302090358;41,00000000000001
HCM;2025;6;0,14705882352941177;23,14285714285715
HCM;2025;7;0,2516914749661705;9,499999999999995
HCM;2025;8;0,1836734693877551;9,555555555555552
HCM;2025;9;0,3958333333333333;9,789473684210524
HCM;2025;10;0,24441524310118265;17,58333333333333
HCM;2025;11;0,54;7,518518518518516
HCM;2025;12;0,36;13,111111111111107
HEM;2022;1;2,2119735468151758;2,1024390243902444
HEM;2022;2;1,5353057199211044;4,151079136690647
HEM;2022;3;1,3231707317073171;8,546218487394958
HEM;2022;4;1,5342349957734573;5,75206611570248
HEM;2022;5;1,7769925402434237;3,5753424657534247
HEM;2022;6;2,2666087711680416;1,7471264367816093
HEM;2022;7;2,2465753424657535;1,9634146341463408
HEM;2022;8;1,6304271090716556;4,154362416107383
HEM;2022;9;1,9810326659641728;2,648936170212765
HEM;2022;10;1,743144741409233;2,456790123456789
HEM;2022;11;1,8422889043963713;2,4886363636363638
HEM;2022;12;2,1542738012508686;2,955
HEM;2023;1;1,758473064573671;4,2264150943396235
HEM;2023;2;1,7115461446264482;3,15032679738562
HEM;2023;3;2,0039904229848364;0,37037037037037024
HEM;2023;4;1,7201834862385321;1,5666666666666658
HEM;2023;5;1,7576699029126213;1,232876712328766
HEM;2023;6;1,9652244237767893;2,191358024691359
HEM;2023;7;1,5928376800311406;1,9696969696969688
HEM;2023;8;2,121177370030581;2,111731843575418
HEM;2023;9;1,6414863209473254;1,8059701492537312
HEM;2023;10;1,7832489645651173;1,7840000000000003
HEM;2023;11;1,8287575616565845;1,816793893129772
HEM;2023;12;1,7502030869212022;2,4460431654676267
HEM;2024;1;2,6886102403343783;1,6385542168674705
HEM;2024;2;3,3478661344795824;1,3617021276595749
HEM;2024;3;3,8387002341920375;1,0330969267139476
HEM;2024;4;3,511331884507917;1,254641909814324
HEM;2024;5;2,7460207612456746;1,6210937499999998
HEM;2024;6;1,8392523364485982;2,3048780487804885
HEM;2024;7;1,892130518234165;1,8742138364779883
HEM;2024;8;1,6886679920477137;1,7518248175182483
HEM;2024;9;1,9063136456211813;2,782051282051283
HEM;2024;10;1,7844382691544263;2,5793103448275865
HEM;2024;11;1,8159509202453987;3,3310810810810807
HEM;2024;12;1,7031667302556277;5,076388888888889
HEM;2025;1;1,678530859522908;3,6223776223776216
HEM;2025;2;1,6142175986129172;3,4436090225563913
HEM;2025;3;1,8517958412098299;2,4556962025316467
HEM;2025;4;2,0890688259109313;1,540697674418604
HEM;2025;5;2,106911034746086;1,7078651685393258
HEM;2025;6;1,8681318681318682;2,4176470588235293
HEM;2025;7;1,984;2,7608695652173916
HEM;2025;8;1,7499144714334587;2,927272727272728
HEM;2025;9;1,914008321775312;3,467391304347826
HEM;2025;10;2,1478571428571427;3,18041237113402
HEM;2025;11;1,7419354838709677;3,4444444444444438
HEM;2025;12;1,993946273174423;3,91764705882353
HIJPII;2022;1;3,3505128846634977;0,46296296296296297
HIJPII;2022;2;3,0485492674518815;0,8153034300791553
HIJPII;2022;3;3,764857881136951;0,2166344294003868
HIJPII;2022;4;3,3431734317343174;0,9271523178807948
HIJPII;2022;5;3,3545048223947305;0,7239130434782604
HIJPII;2022;6;3,002191380569759;0,7420924574209242
HIJPII;2022;7;3,026936026936027;0,512315270935961
HIJPII;2022;8;3,017425939756037;2,1253196930946294
HIJPII;2022;9;3,097322348094748;2,2144638403990022
HIJPII;2022;10;2,9985232586758555;2,346055979643765
HIJPII;2022;11;3,316326530612245;1,6923076923076927
HIJPII;2022;12;2,7912586577501792;2,5809018567639264
HIJPII;2023;1;2,451473759884975;3,078787878787879
HIJPII;2023;2;3,1932342388518706;1,2022471910112358
HIJPII;2023;3;4,018097334311568;-0,2773584905660382
HIJPII;2023;4;3,488372093023256;0,6357894736842109
HIJPII;2023;5;3,5265124970801214;0,4989733059548252
HIJPII;2023;6;2,951552795031056;0,8510101010101007
HIJPII;2023;7;3,337550728097398;0,35033259423503277
HIJPII;2023;8;2,801836636056066;1,4438502673796796
HIJPII;2023;9;2,998500749625187;1,3824999999999996
HIJPII;2023;10;2,7029556650246307;2,655367231638418
HIJPII;2023;11;2,609032258064516;2,4569732937685465
HIJPII;2023;12;2,567507963734379;3,4822485207100584
HIJPII;2024;1;2,3805201177625124;3,993610223642173
HIJPII;2024;2;3,072601334017445;1,8934624697336566
HIJPII;2024;3;4,272458494428019;0,06765676567656739
HIJPII;2024;4;4,281696742441997;-0,18719211822660062
HIJPII;2024;5;3,632470588235294;0,7791164658634542
HIJPII;2024;6;2,9977516862353233;1,6324999999999994
HIJPII;2024;7;2,984162336055432;1,987146529562982
HIJPII;2024;8;2,6949826130153998;2,5028571428571422
HIJPII;2024;9;3,0;1,4784810126582277
HIJPII;2024;10;2,979281078382426;2,2961038961038955
HIJPII;2024;11;2,7801047120418847;2,8926553672316384
HIJPII;2024;12;3,1484375;2,598014888337469
HIJPII;2025;1;2,6814181543877296;3,433139534883721
HIJPII;2025;2;2,671814671814672;3,332369942196532
HIJPII;2025;3;3,466699801192843;1,6866666666666672
HIJPII;2025;4;4,009422266303;0,3116883116883117
HIJPII;2025;5;4,113057696799813;-0,17605633802816867
HIJPII;2025;6;3,897210743801653;0,8409542743538766
HIJPII;2025;7;3,0695449844881075;2,804177545691905
HIJPII;2025;8;2,787204058624577;2,5987460815047028
HIJPII;2025;9;2,6803205699020483;3,0099667774086374
HIJPII;2025;10;2,9549239161642262;2,4548192771084336
HIJPII;2025;11;3,107142857142857;1,9310344827586212
HIJPII;2025;12;3,306548470117243;2,20911528150134
HJK;2022;1;2,33241066935078;3,9030100334448163
HJK;2022;2;1,9196787148594376;5,02510460251046
HJK;2022;3;2,3852695103552324;4,702317290552585
HJK;2022;4;2,433847048560628;4,301075268817205
HJK;2022;5;2,401067430356678;4,418487394957983
HJK;2022;6;2,348401323042999;3,825704225352112
HJK;2022;7;2,299560609976738;3,8101045296167237
HJK;2022;8;2,41657848324515;4,02262443438914
HJK;2022;9;2,539568345323741;3,444759206798867
HJK;2022;10;2,566599929336945;3,4167852062588895
HJK;2022;11;2,298327594687654;3,834670947030498
HJK;2022;12;2,5447212336892053;4,11271676300578
HJK;2023;1;2,4356339900882387;4,36
HJK;2023;2;2,509593452301087;2,555389221556886
HJK;2023;3;3,139697322467986;1,1468710089399747
HJK;2023;4;2,614347616754935;2,2237569060773477
HJK;2023;5;2,9721649484536083;2,117084826762246
HJK;2023;6;2,770700636942675;2,4840357598978287
HJK;2023;7;2,8804396092362343;2,2437275985663088
HJK;2023;8;3,0770570309098826;2,080043859649123
HJK;2023;9;2,6300427394975503;2,517241379310345
HJK;2023;10;2,8942103667778114;2,333333333333334
HJK;2023;11;2,8268514687629294;2,522502744237103
HJK;2023;12;2,8082673702726475;3,2157497303128375
HJK;2024;1;2,84655658477648;3,1348684210526323
HJK;2024;2;3,29068861942374;0,1715686274509802
HJK;2024;3;3,740103441416352;-0,8837592745259689
HJK;2024;4;3,308300395256917;-0,9784946236559146
HJK;2024;5;3,6561671763506625;-0,34312878133102853
HJK;2024;6;3,4790248188007906;-0,1505681818181811
HJK;2024;7;3,4746524064171123;0,06774809160305302
HJK;2024;8;3,407653219952297;0,36603773584905686
HJK;2024;9;3,2203023758099354;0,6599597585513084
HJK;2024;10;3,513894692854158;0,2350230414746542
HJK;2024;11;3,230468325546018;0,5095862764883958
HJK;2024;12;3,5793953945214447;0,520793950850662
HJK;2025;1;3,3871035718048677;0,09932497589199624
HJK;2025;2;3,149635458858928;-0,060699588477365965
HJK;2025;3;3,60275557425326;-0,20090497737556515
HJK;2025;4;3,5903258771431816;-0,35009487666034234
HJK;2025;5;3,336993329912776;-0,5795996186844615
HJK;2025;6;3,256589228044588;-0,4040307101727445
HJK;2025;7;3,420304365238286;-0,32032667876587967
HJK;2025;8;3,3291876418912247;-0,22058823529411792
HJK;2025;9;3,2943211886830857;-0,32900834105653315
HJK;2025;10;3,387180771156735;0,1310724106324469
HJK;2025;11;3,091022056539298;0,034170854271356695
HJK;2025;12;3,5452043624503107;-0,058823529411764504
HJXXIII;2022;1;3,046561738804572;-0,7673975214489986
HJXXIII;2022;2;2,793691663984551;-0,34193548387096717
HJXXIII;2022;3;3,3000191460846255;-0,3525179856115109
HJXXIII;2022;4;3,100177830468287;-0,3632887189292536
HJXXIII;2022;5;3,1193615544760585;-0,039408866995073684
HJXXIII;2022;6;3,1215670017618407;-0,17330677290836716
HJXXIII;2022;7;3,2337470449172576;-0,6137865911237017
HJXXIII;2022;8;3,0046626984126985;-0,5127942681678603
HJXXIII;2022;9;3,055251368840219;-0,7751710654936455
HJXXIII;2022;10;2,883311233188104;-0,9083503054989809
HJXXIII;2022;11;2,963144963144963;-0,8099502487562198
HJXXIII;2022;12;2,9877388080980896;-0,6982248520710068
HJXXIII;2023;1;2,9260666277030976;-0,46852425180598534
HJXXIII;2023;2;2,7422226877553157;-0,3893048128342251
HJXXIII;2023;3;3,1809644918321434;-1,1458531935176355
HJXXIII;2023;4;2,775573405593729;-0,8598326359832639
HJXXIII;2023;5;3,18364298384838;-0,9790909090909097
HJXXIII;2023;6;2,741888336743642;-1,0042643923240946
HJXXIII;2023;7;2,85014409221902;-1,304347826086957
HJXXIII;2023;8;2,893767299799561;-0,8957055214723931
HJXXIII;2023;9;2,860877142027302;-1,179695431472081
HJXXIII;2023;10;3,057294042514369;-1,0009250693802034
HJXXIII;2023;11;2,953926905132193;-0,7670286278381047
HJXXIII;2023;12;2,967110125646711;-1,065637065637065
HJXXIII;2024;1;2,6605341800522972;-0,6137105549510334
HJXXIII;2024;2;2,6554427580661373;-0,46761800219539007
HJXXIII;2024;3;3,1368036529680365;-0,9070397111913353
HJXXIII;2024;4;3,2796247195594534;-0,21921641791044785
HJXXIII;2024;5;3,371866159399083;-0,478026905829596
HJXXIII;2024;6;2,9107981220657275;-0,7469758064516124
HJXXIII;2024;7;3,177055449330784;-0,5680970149253725
HJXXIII;2024;8;2,99247679531021;-0,4635627530364378
HJXXIII;2024;9;2,8700254851989806;-0,6977459016393438
HJXXIII;2024;10;2,991488140780413;-0,4529236868186332
HJXXIII;2024;11;2,9768605378361475;-0,07878151260504127
HJXXIII;2024;12;3,257076659615191;-0,24544582933844747
HJXXIII;2025;1;3,460061740304843;-0,5341400172860854
HJXXIII;2025;2;3,03015786608601;-0,31991951710261546
HJXXIII;2025;3;3,264250191277735;-0,5685740236148961
HJXXIII;2025;4;3,440204563335956;-0,7984562607204123
HJXXIII;2025;5;3,4797720797720797;-0,8020304568527917
HJXXIII;2025;6;3,3806986382474835;-0,8301225919439577
HJXXIII;2025;7;3,477163692189599;-0,7168520102651842
HJXXIII;2025;8;3,633522172299277;-0,7016666666666661
HJXXIII;2025;9;3,433098591549296;-0,49502262443438977
HJXXIII;2025;10;3,6742756804214225;-0,7448559670781897
HJXXIII;2025;11;3,140672782874618;-0,2872444011684522
HJXXIII;2025;12;3,417857823518201;-0,7502160760587726
HMAL;2022;1;2,998360655737705;2,542372881355933
HMAL;2022;2;3,0043795620437956;2,884353741496599
HMAL;2022;3;3,9310344827586206;2,925438596491228
HMAL;2022;4;3,3793103448275863;2,908163265306122
HMAL;2022;5;3,7033090297251823;2,694835680751174
HMAL;2022;6;3,5623869801084993;2,1065989847715736
HMAL;2022;7;4,853658536585366;1,1909547738693471
HMAL;2022;8;3,975609756097561;1,3067484662576687
HMAL;2022;9;5,024390243902439;0,9223300970873783
HMAL;2022;10;4,536585365853658;1,5483870967741933
HMAL;2022;11;4,2926829268292686;1,261363636363637
HMAL;2022;12;4,512195121951219;1,210810810810811
HMAL;2023;1;4,439024390243903;1,2692307692307694
HMAL;2023;2;4,487804878048781;1,0163043478260871
HMAL;2023;3;7,300252312867956;0,6928571428571425
HMAL;2023;4;5,073170731707317;1,0192307692307692
HMAL;2023;5;5,829268292682927;0,9623430962343092
HMAL;2023;6;7,170731707317073;0,8027210884353743
HMAL;2023;7;5,975609756097561;0,9142857142857146
HMAL;2023;8;6,634146341463414;1,0
HMAL;2023;9;6,365853658536586;1,0766283524904219
HMAL;2023;10;6,7073170731707314;1,2763636363636361
HMAL;2023;11;6,853658536585366;1,0747330960854091
HMAL;2023;12;7,7317073170731705;0,8927444794952683
HMAL;2024;1;5,82307092751364;1,7676348547717842
HMAL;2024;2;5,170731707317073;1,2264150943396224
HMAL;2024;3;6,0;0,894308943089431
HMAL;2024;4;6,2439024390243905;1,3242187500000002
HMAL;2024;5;6,682926829268292;1,083941605839416
HMAL;2024;6;5,634146341463414;1,5064935064935066
HMAL;2024;7;5,487804878048781;1,0311111111111109
HMAL;2024;8;6,048780487804878;1,491935483870968
HMAL;2024;9;5,032894736842105;1,666666666666666
HMAL;2024;10;6,2;1,4032258064516128
HMAL;2024;11;4,82051282051282;2,914893617021277
HMAL;2024;12;4,230769230769231;2,6181818181818186
HMAL;2025;1;3,2564102564102564;3,0314960629921264
HMAL;2025;2;1,5897435897435896;11,758064516129034
HMAL;2025;3;1,9959758551307847;10,90625
HMAL;2025;4;2,5;3,1363636363636362
HMAL;2025;5;4,129662522202486;2,0666666666666673
HMAL;2025;6;3,8121546961325965;1,7246376811594202
HMAL;2025;7;4,412811387900356;1,3125000000000002
HMAL;2025;8;3,9444444444444446;1,225352112676056
HMAL;2025;9;2,8280961182994453;2,0392156862745097
HMAL;2025;10;3,5555555555555554;1,9687500000000002
HMAL;2025;11;3,8333333333333335;2,3913043478260874
HMAL;2025;12;2,0932475884244375;7,666666666666666
HRAD;2022;1;3,7742405832320776;0,3493013972055886
HRAD;2022;2;3,960188580408591;-0,1888888888888893
HRAD;2022;3;4,264020309254558;-0,09899328859060465
HRAD;2022;4;4,332764088802147;-0,043918918918918755
HRAD;2022;5;4,334192037470726;0,13902847571189292
HRAD;2022;6;3,960712654179991;0,04671280276816637
HRAD;2022;7;3,836194563662375;0,26011560693641606
HRAD;2022;8;4,442821782178218;-0,4853195164075991
HRAD;2022;9;3,872935196950445;0,4074803149606302
HRAD;2022;10;3,573120728929385;1,4387351778656123
HRAD;2022;11;3,956902675822875;0,49910233393177733
HRAD;2022;12;4,2272727272727275;1,1692573402417965
HRAD;2023;1;4,482101348210135;0,7427652733118972
HRAD;2023;2;3,8650527942312647;0,6679104477611945
HRAD;2023;3;5,018756169792695;0,1097560975609755
HRAD;2023;4;4,648596785799952;0,17027863777089805
HRAD;2023;5;4,67271458478716;0,3101851851851852
HRAD;2023;6;4,515669515669516;0,2113564668769717
HRAD;2023;7;4,277351916376307;0,4781144781144779
HRAD;2023;8;4,402325051287896;0,27287319422150885
HRAD;2023;9;4,717655468191565;0,5151515151515149
HRAD;2023;10;4,628571428571429;0,6898148148148149
HRAD;2023;11;4,131694875956411;0,9680134680134679
HRAD;2023;12;4,622925764192139;1,0937042459736452
HRAD;2024;1;4,340541721275666;0,9859594383775351
HRAD;2024;2;3,8264829518916392;1,2849557522123893
HRAD;2024;3;4,568860930128061;0,6966463414634143
HRAD;2024;4;4,335714285714285;0,20263591433278383
HRAD;2024;5;4,601166861143524;0,2547169811320754
HRAD;2024;6;4,473246135552913;0,2631578947368419
HRAD;2024;7;4,535722437799589;0,9063962558502338
HRAD;2024;8;4,863302752293578;0,8654970760233917
HRAD;2024;9;4,660529344073648;0,8711111111111108
HRAD;2024;10;4,93731875975909;0,8711484593837537
HRAD;2024;11;4,6864310148232615;0,5080291970802921
HRAD;2024;12;4,741899933877011;0,5677233429394809
HRAD;2025;1;4,669827966475518;0,48023426061493374
HRAD;2025;2;4,201375245579568;0,39770867430441864
HRAD;2025;3;4,741095280498664;0,5065502183406112
